,route,sharpe,sortino,std,neg std,min net,acc,mean net,frequency,periods
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.1/50_/efficientfrontier/minvol/6_4h_60,0.06766382558870288,0.07385533474765274,0.039436691282230533,0.036130597875344055,-0.1680672268907562,1.1193212320195518,0.002668437400716366,4h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.1/50_/efficientsemivariance/minsemivariance/6_4h_60,0.06766545118149446,0.07464243368979662,0.03703959525064735,0.03357742774881677,-0.1674961648489182,1.1144700702107275,0.0025063009242149927,4h,2
2,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.1/50_/efficientsemivariance/minsemivariance/6_4h_80,0.06628582814740151,0.0736602512593952,0.03695837082278868,0.03325832012628168,-0.1621639567316288,1.1091807010196992,0.0024498162169673088,4h,2
3,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.1/50_/efficientfrontier/minvol/6_4h_80,0.0639696955281326,0.07253410021433083,0.03896477407710834,0.034364040177927636,-0.1643247450708089,1.1090413837952402,0.0024925647340350945,4h,2
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.1/50_/efficientfrontier/minvol/6_4h_40,0.0595953099606522,0.06048823735271987,0.038976714845652856,0.03840134056030961,-0.1680672268907562,1.0973688868237854,0.0023228294024746363,4h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.1/50_/efficientsemivariance/minsemivariance/6_4h_40,0.05064560978237153,0.05278029650378943,0.03677264619637625,0.035285385139758894,-0.1680672268907562,1.072859882298906,0.00186237308992688,4h,2
6,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.1/50_/efficientfrontier/minvol/6_4h_100,0.04681156181988178,0.05176361680376477,0.0383707466281898,0.03469994348868393,-0.1619537048320184,1.0651424190359595,0.0017961945778605273,4h,2
7,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.1/50_/efficientsemivariance/minsemivariance/6_4h_100,0.046790502082934664,0.05319930575034313,0.03647773740833641,0.03208334439917949,-0.1619229054174861,1.0639266842951065,0.0017068116481855084,4h,2
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.2/50_/efficientsemivariance/minsemivariance/6_4h_60,-0.03319519991873616,-0.02993769801325234,0.03534997760447069,0.03919638621459161,-0.1674961648489182,0.8959587130199693,-0.0011734495737032505,4h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\4h_6/LowestMomentum_2_0.2/50_/efficientsemivariance/minsemivariance/6_4h_40,-0.03375256215045835,-0.02960995841232586,0.035375576775466475,0.04032482373312639,-0.1680672268907562,0.8947295420205184,-0.0011940163537222431,4h,2
