,route,sharpe,sortino,std,neg std,min net,acc,mean net,frequency,periods
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_2/50_150_/efficientsemivariance/minsemivariance/4_6h_40,0.15486686471566058,0.2751479714568648,0.031244116977441696,0.017585731820902416,-0.0645453721330794,1.232657225462619,0.004838678437105737,6h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_2/50_150_/efficientsemivariance/minsemivariance/4_6h_80,0.13754897335760133,0.24661569298555147,0.03024857524890541,0.016871028849169183,-0.0645453721330794,1.1950529519262725,0.004160660471017089,6h,2
2,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_2/50_150_/efficientsemivariance/minsemivariance/4_6h_100,0.11845970443382846,0.21083462314556706,0.0303544041868262,0.017054949014487803,-0.0645453721330794,1.1629620921701695,0.0035957737482363965,6h,2
3,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_2/50_150_/efficientfrontier/minvol/4_6h_40,0.11196807742349373,0.15755865305072114,0.026227271044715193,0.018638247142137427,-0.0645453721330794,1.132713232599543,0.002936617114941626,6h,2
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_2/50_150_/efficientsemivariance/minsemivariance/4_6h_60,0.09820272518054259,0.1745054532907933,0.029959008473072573,0.016859394478979942,-0.0645453721330794,1.1277903789151096,0.002942056275762693,6h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_2/50_150_/efficientfrontier/minvol/4_6h_80,0.07857896045773927,0.10880570579418924,0.024603919787916338,0.017768833224399865,-0.0645453721330794,1.0816379568634376,0.0019333504401200666,6h,2
6,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_2/50_150_/efficientfrontier/minvol/4_6h_100,0.06363039349033739,0.09232375272380525,0.025183682902590283,0.0173568296928047,-0.0645453721330794,1.0639086028855702,0.0016024476526277018,6h,2
7,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_2/50_150_/efficientfrontier/minvol/4_6h_60,0.057073368691063164,0.08033878648833666,0.024475838364035513,0.01738784724083762,-0.0645453721330794,1.0543253410440458,0.0013969185469734672,6h,2
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_3/50_150_/efficientsemivariance/minsemivariance/4_6h_40,0.10777481225113605,0.16915303079225166,0.0283932020343,0.01809055388557323,-0.0645453721330794,1.1424629726850606,0.003060072018455257,6h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_3/50_150_/efficientsemivariance/minsemivariance/4_6h_80,0.07601267348951964,0.11427203002909608,0.02634158782227662,0.017522175057364368,-0.0645453721330794,1.0866118025269194,0.0020022945143302194,6h,2
2,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_3/50_150_/efficientsemivariance/minsemivariance/4_6h_100,0.05938875109547161,0.09041941512177254,0.026347715922073113,0.01730555258207381,-0.0645453721330794,1.0631105083295946,0.0015647579428301945,6h,2
3,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_3/50_150_/efficientfrontier/minvol/4_6h_40,0.053581153294572935,0.07081897074657671,0.023286149718945482,0.017618143056555315,-0.0645453721330794,1.05023302796601,0.0012476987577311944,6h,2
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_3/50_150_/efficientsemivariance/minsemivariance/4_6h_60,0.029905675039692596,0.04467648108179295,0.02585717999873534,0.01730835562159241,-0.0645453721330794,1.0225484596800525,0.000773276422485018,6h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_3/50_150_/efficientfrontier/minvol/4_6h_80,0.02642704113296259,0.03477185515992131,0.02325427458994529,0.017673537068393842,-0.0645453721330794,1.0175426734946296,0.0006145416711056909,6h,2
6,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_3/50_150_/efficientfrontier/minvol/4_6h_100,0.018869500852416007,0.02585854669836705,0.023633596945060002,0.01724591033295107,-0.0645453721330794,1.008569292150679,0.0004459541777004661,6h,2
7,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_3/50_150_/efficientfrontier/minvol/4_6h_60,-0.006701028654499818,-0.008607810677347451,0.02241188421377823,0.017447256212672624,-0.0645453721330794,0.9802694199662184,-0.00015018267831786006,6h,2
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientsemivariance/minsemivariance/4_6h_40,0.01859910819424931,0.02799248140613736,0.031060388498686194,0.020637524693177846,-0.0796703296703296,1.0053339651539708,0.0005776955262424815,6h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientsemivariance/minsemivariance/4_6h_80,0.014709204604886592,0.023919252256117813,0.028899002833057727,0.017771514803098437,-0.0796703296703296,1.000847055986048,0.0004250813455486434,6h,2
2,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientsemivariance/minsemivariance/4_6h_100,0.011285053559197724,0.017840190923268287,0.0290317850682813,0.01836444748959284,-0.0796703296703296,0.995472469252248,0.00032762524941467127,6h,2
3,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientfrontier/minvol/4_6h_40,-0.05039110255828851,-0.06429806433171827,0.02576605987504255,0.020193145457502986,-0.0796703296703296,0.917278440532672,-0.0012983801656862716,6h,2
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientfrontier/minvol/4_6h_100,-0.05798938114206182,-0.08111943628708472,0.025820010666194052,0.018457801337709936,-0.0796703296703296,0.9076583039726268,-0.0014972864396140284,6h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientfrontier/minvol/4_6h_80,-0.06319778308332692,-0.08662587190291783,0.025338204255647204,0.018485451298707052,-0.0796703296703296,0.9032218344973256,-0.0016013183362694231,6h,2
6,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientsemivariance/minsemivariance/4_6h_60,-0.05954644972348775,-0.09077859406960381,0.027166955412725558,0.0178202335165462,-0.0796703296703296,0.9002535058390105,-0.0016176957446240958,6h,2
