,route,sharpe,sortino,std,neg std,min net,acc,mean net,frequency,periods
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_50/50_70_/efficientsemivariance/minsemivariance/4_6h_80,0.22501696086419035,0.36613696491696446,0.0264023126899837,0.016226081304392525,-0.0532809871003925,1.2366502513691262,0.0059409681612861785,6h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_50/50_70_/efficientsemivariance/minsemivariance/4_6h_60,0.21412340285743972,0.3457872925610297,0.025682112654166634,0.01590324882487607,-0.0532809871003925,1.2169554811232082,0.005499141354078273,6h,2
2,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_50/50_70_/efficientsemivariance/minsemivariance/4_6h_40,0.21332398070688988,0.3543403554917373,0.02702504250341211,0.016269921154197176,-0.0532809871003925,1.2145489231394415,0.005765089645600764,6h,2
3,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_50/50_70_/efficientfrontier/minvol/4_6h_80,0.19863248962019597,0.31028643335062,0.025740754809918217,0.016478162314043285,-0.0532809871003925,1.205001921499667,0.00511295021259709,6h,2
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_50/50_70_/efficientfrontier/minvol/4_6h_60,0.1830961350483737,0.2722765296012843,0.024556260355371704,0.016513198434305865,-0.0532809871003925,1.177761696985507,0.004496156362310162,6h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_50/50_70_/efficientfrontier/minvol/4_6h_40,0.16012950103831955,0.24761234711846747,0.024609219054953283,0.01591464244037478,-0.0532809871003925,1.152565667154748,0.003940661968212375,6h,2
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_60/50_70_/efficientsemivariance/minsemivariance/4_6h_60,0.17994552501368363,0.32603387464495165,0.026081474737524035,0.014394960247262023,-0.0532809871003925,1.2327518172419554,0.004693244664774889,6h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_60/50_70_/efficientsemivariance/minsemivariance/4_6h_80,0.16941871389031177,0.29261090001406814,0.02652649292899882,0.015358567694625739,-0.0532809871003925,1.2203697749284237,0.00449408431605143,6h,2
2,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_60/50_70_/efficientfrontier/minvol/4_6h_40,0.17018446938790582,0.28451180329758385,0.024988470608246376,0.014947181670461841,-0.0532809871003925,1.2132152951597537,0.00425264961127969,6h,2
3,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_60/50_70_/efficientfrontier/minvol/4_6h_60,0.16489648915922225,0.2697817017361351,0.025238985993553974,0.015426621425742134,-0.0532809871003925,1.2075159443084365,0.004161820180275835,6h,2
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_60/50_70_/efficientfrontier/minvol/4_6h_80,0.157708679277008,0.25306008901599014,0.025717784738095474,0.016027489284251174,-0.0532809871003925,1.2005854781808512,0.00405591786497543,6h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_60/50_70_/efficientsemivariance/minsemivariance/4_6h_40,0.1596247584410254,0.29761459401131657,0.0259360498623559,0.013910728094320299,-0.0532809871003925,1.196229349673702,0.004140035694192951,6h,2
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_70/50_70_/efficientsemivariance/minsemivariance/4_6h_60,0.22140104656187892,0.40224830832200487,0.025487564134790835,0.01402858199030244,-0.0532809871003925,1.304671648615719,0.005642973373755701,6h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_RSISlopes_andSmothLimit_70/50_70_/efficientsemivariance/minsemivariance/4_6h_80,0.20235195779545845,0.3423673703014921,0.02595809087862074,0.015342205378087828,-0.0532809871003925,1.2787877023839669,0.005252670509921339,6h,2
