,rules,target,qty_trans,acc,mean,max_drawdown,std,sharpe,sortino,positive,negative
16859,{'buy': 'ema_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,27.0,2.302,0.032962962962962965,-0.065,0.060440359339079354,0.5453799964695092,1.2752389749575304,19.0,8.0
16895,{'buy': 'ema_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,26.0,2.3,0.03415384615384616,-0.065,0.061184110556707326,0.5582143115767176,1.4369054940547197,19.0,7.0
17213,{'buy': 'ema_slope > 0 and william_fractals == True and rsi_smoth > 60'},3.0,30.0,2.256,0.029100000000000004,-0.065,0.05981370503776562,0.48651057448500523,1.1228105106274562,21.0,9.0
27068,{'buy': 'ema_slope > 0 and rsi_smoth_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,22.0,2.201,0.03777272727272728,-0.039,0.05516462964288225,0.6847272884320179,2.511123390999621,16.0,6.0
26780,{'buy': 'ema_slope > 0 and rsi_smoth_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,22.0,2.201,0.03777272727272728,-0.039,0.05516462964288225,0.6847272884320179,2.511123390999621,16.0,6.0
25916,{'buy': 'ema_slope > 0 and rsi_smoth_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,22.0,2.201,0.03777272727272728,-0.039,0.05516462964288225,0.6847272884320179,2.511123390999621,16.0,6.0
26492,{'buy': 'ema_slope > 0 and rsi_smoth_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,22.0,2.201,0.03777272727272728,-0.039,0.05516462964288225,0.6847272884320179,2.511123390999621,16.0,6.0
26204,{'buy': 'ema_slope > 0 and rsi_smoth_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,22.0,2.201,0.03777272727272728,-0.039,0.05516462964288225,0.6847272884320179,2.511123390999621,16.0,6.0
26108,{'buy': 'ema_slope > 0 and rsi_smoth_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,22.0,2.201,0.03777272727272728,-0.039,0.05516462964288225,0.6847272884320179,2.511123390999621,16.0,6.0
16919,{'buy': 'ema_slope > 0 and william_fractals == True and rsi_smoth > 50'},3.0,28.0,2.169,0.029750000000000006,-0.065,0.062130463095364456,0.4788311323921171,1.4524234724735798,19.0,9.0
